编号,年龄,性别,学历,国家,日均上网时长(小时),是否影响学业,日均睡眠(小时),心理健康评分,感情状况,社交媒体冲突次数,网络成瘾评分,平台_Facebook,平台_Instagram,平台_KakaoTalk,平台_LINE,平台_LinkedIn,平台_Snapchat,平台_TikTok,平台_Twitter,平台_VKontakte,平台_WeChat,平台_WhatsApp,平台_YouTube,网络成瘾_正向,网络使用深度得分,学习状态得分,身心健康得分
170,21,1,Graduate,Pakistan,4.6,1,6.5,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,1.6637931034482762
171,20,0,Undergraduate,Sri Lanka,5.0,0,7.3,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.4523809523809526,5,3.0086206896551726
172,22,1,Graduate,Maldives,5.3,1,5.7,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4761904761904763,0,1.8189655172413794
173,19,0,Undergraduate,Bangladesh,4.8,1,6.6,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.261904761904762,0,1.706896551724138
174,21,1,Graduate,India,5.1,0,7.4,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.238095238095238,5,3.0517241379310347
175,20,0,Undergraduate,Nepal,5.7,1,5.6,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.571428571428571,0,1.7758620689655171
176,22,1,Graduate,Pakistan,4.5,1,6.7,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1904761904761902,0,1.7500000000000004
177,19,0,Undergraduate,Sri Lanka,4.9,0,7.5,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.428571428571429,5,3.0948275862068964
178,21,1,Graduate,Maldives,5.2,1,5.5,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4523809523809526,0,1.7327586206896552
179,20,0,Undergraduate,Bangladesh,4.7,1,6.8,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,1.7931034482758623
180,22,1,Graduate,India,5.0,0,7.6,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.2142857142857144,5,3.137931034482758
181,19,0,Undergraduate,Nepal,5.8,1,5.4,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.595238095238095,0,1.6896551724137934
182,21,1,Graduate,Pakistan,4.4,1,6.9,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1666666666666665,0,1.8362068965517242
183,20,0,Undergraduate,Sri Lanka,4.8,0,7.7,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.4047619047619047,5,3.181034482758621
184,22,1,Graduate,Maldives,5.1,1,5.3,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4285714285714284,0,1.6465517241379313
185,19,0,Undergraduate,Bangladesh,4.6,1,7.0,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,1.879310344827586
186,21,1,Graduate,India,4.9,0,7.8,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.1904761904761907,5,3.224137931034483
187,20,0,Undergraduate,Nepal,5.9,1,5.2,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.619047619047619,0,1.6034482758620692
188,22,1,Graduate,Pakistan,4.3,1,7.1,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.142857142857143,0,1.9224137931034484
189,19,0,Undergraduate,Sri Lanka,4.7,0,7.9,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.380952380952381,5,3.267241379310345
190,21,1,Graduate,Maldives,5.0,1,5.1,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4047619047619047,0,1.5603448275862069
191,20,0,Undergraduate,Bangladesh,4.5,1,7.2,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1904761904761902,0,1.9655172413793105
192,22,1,Graduate,India,4.8,0,8.0,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.166666666666667,5,3.310344827586207
193,19,0,Undergraduate,Nepal,6.0,1,5.0,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.642857142857143,0,1.5172413793103452
194,21,1,Graduate,Pakistan,4.2,1,7.3,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.119047619047619,0,2.008620689655172
195,20,0,Undergraduate,Sri Lanka,4.6,0,8.1,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.3571428571428568,5,3.3534482758620685
196,22,1,Graduate,Maldives,4.9,1,4.9,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.380952380952381,0,1.474137931034483
197,19,0,Undergraduate,Bangladesh,4.4,1,7.4,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1666666666666665,0,2.0517241379310347
198,21,1,Graduate,India,4.7,0,8.2,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.1428571428571432,5,3.3965517241379306
199,20,0,Undergraduate,Nepal,6.1,1,4.8,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.6666666666666665,0,1.4310344827586208
200,22,1,Graduate,Pakistan,4.1,1,7.5,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.0952380952380953,0,2.094827586206897
201,19,0,Undergraduate,Sri Lanka,4.5,0,8.3,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.333333333333333,5,3.4396551724137936
202,21,1,Graduate,Maldives,4.8,1,4.7,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.3571428571428568,0,1.387931034482759
203,20,0,Undergraduate,Bangladesh,4.3,1,7.6,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.142857142857143,0,2.1379310344827585
204,22,1,Graduate,India,4.6,0,8.4,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.119047619047619,5,3.4827586206896557
205,19,0,Undergraduate,Nepal,6.2,1,4.6,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.6904761904761902,0,1.3448275862068964
206,21,1,Graduate,Pakistan,4.0,1,7.7,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.0714285714285716,0,2.181034482758621
207,20,0,Undergraduate,Sri Lanka,4.4,0,8.5,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.3095238095238093,5,3.5258620689655173
208,22,1,Graduate,Maldives,4.7,1,4.5,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.333333333333333,0,1.3017241379310347
209,19,0,Undergraduate,Bangladesh,4.2,1,7.8,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.119047619047619,0,2.2241379310344827
210,21,1,Graduate,India,4.5,0,8.6,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.0952380952380953,5,3.568965517241379
211,20,0,Undergraduate,Nepal,6.3,1,4.4,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.714285714285714,0,1.2586206896551726
212,22,1,Graduate,Pakistan,3.9,1,7.9,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.047619047619048,0,2.267241379310345
213,19,0,Undergraduate,Sri Lanka,4.3,0,8.7,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.2857142857142856,5,3.612068965517241
214,21,1,Graduate,Maldives,4.6,1,4.3,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.3095238095238093,0,1.2155172413793105
215,20,0,Undergraduate,Bangladesh,4.1,1,8.0,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.0952380952380953,0,2.3103448275862073
216,22,1,Graduate,India,4.4,0,8.8,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.0714285714285716,5,3.655172413793104
217,19,0,Undergraduate,Nepal,6.4,1,4.2,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.7380952380952377,0,1.1724137931034486
218,21,1,Graduate,Pakistan,3.8,1,8.1,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.023809523809524,0,2.353448275862069
219,20,0,Undergraduate,Sri Lanka,4.2,0,8.9,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.261904761904762,5,3.698275862068966
220,22,1,Graduate,Maldives,4.5,1,4.1,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.2857142857142856,0,1.1293103448275863
221,19,0,Undergraduate,USA,6.5,1,6.0,5,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5238095238095237,0,1.4482758620689657
222,21,1,Graduate,UK,5.8,1,6.5,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.5,0,2.163793103448276
223,20,0,Undergraduate,Australia,4.5,0,7.5,8,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.333333333333333,5,3.594827586206897
224,22,1,Graduate,Germany,4.2,0,7.8,7,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.5,5,3.224137931034483
225,19,0,Undergraduate,Japan,3.8,0,7.9,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.3095238095238093,5,3.767241379310345
226,21,1,Graduate,Italy,5.5,1,6.8,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.428571428571428,0,2.293103448275862
227,20,0,Undergraduate,South Korea,5.2,1,6.5,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.5952380952380953,0,2.163793103448276
228,22,1,Graduate,Russia,4.8,0,7.2,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.4047619047619047,5,2.9655172413793105
229,19,0,Undergraduate,USA,7.0,1,5.8,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.642857142857143,0,0.8620689655172414
230,21,1,Graduate,UK,5.5,1,6.7,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.428571428571428,0,2.2500000000000004
231,20,0,Undergraduate,Australia,4.7,0,7.4,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.380952380952381,5,3.0517241379310347
232,22,1,Graduate,Germany,4.0,0,7.9,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.119047619047619,5,3.767241379310345
233,19,0,Undergraduate,Japan,3.5,0,8.0,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.238095238095238,5,3.8103448275862073
234,21,1,Graduate,Italy,5.7,1,6.5,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.238095238095238,0,1.6637931034482762
235,20,0,Undergraduate,South Korea,5.0,1,6.8,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.547619047619048,0,2.293103448275862
236,22,1,Graduate,Russia,4.5,0,7.4,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.333333333333333,5,3.0517241379310347
237,19,0,Undergraduate,USA,6.8,1,5.9,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5952380952380953,0,0.9051724137931038
238,21,1,Graduate,UK,5.6,1,6.6,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.4523809523809517,0,2.206896551724138
239,20,0,Undergraduate,Australia,4.6,0,7.3,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.3571428571428568,5,3.0086206896551726
240,22,1,Graduate,Germany,4.1,0,7.7,8,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.4761904761904763,5,3.681034482758621
241,19,0,Undergraduate,Japan,3.7,0,7.8,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.2857142857142856,5,3.724137931034483
242,21,1,Graduate,Italy,5.4,1,6.7,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.404761904761904,0,1.7500000000000004
243,20,0,Undergraduate,South Korea,5.1,1,6.6,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.5714285714285716,0,2.206896551724138
244,22,1,Graduate,Russia,4.7,0,7.3,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.380952380952381,5,3.0086206896551726
245,19,0,Undergraduate,USA,6.9,1,5.7,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.619047619047619,0,0.8189655172413794
246,21,1,Graduate,UK,5.7,1,6.4,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.4761904761904763,0,2.120689655172414
247,20,0,Undergraduate,Australia,4.8,0,7.2,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.4047619047619047,5,2.9655172413793105
248,22,1,Graduate,Germany,3.9,0,7.8,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.0952380952380953,5,3.724137931034483
249,19,0,Undergraduate,Japan,3.6,0,8.1,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.261904761904762,5,3.8534482758620694
250,21,1,Graduate,Italy,5.6,1,6.6,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.214285714285714,0,1.706896551724138
251,20,0,Undergraduate,South Korea,4.9,1,6.9,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.523809523809524,0,2.336206896551724
252,22,1,Graduate,Russia,4.6,0,7.5,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.3571428571428568,5,3.0948275862068964
253,19,0,Undergraduate,USA,6.7,1,5.8,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5714285714285716,0,0.8620689655172414
254,21,1,Graduate,UK,5.4,1,6.5,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.404761904761904,0,2.163793103448276
255,20,0,Undergraduate,Australia,4.4,0,7.4,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.3095238095238093,5,3.0517241379310347
256,22,1,Graduate,Germany,4.0,0,7.6,8,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.4523809523809526,5,3.637931034482759
257,19,0,Undergraduate,Japan,3.4,0,8.2,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.2142857142857144,5,3.896551724137931
258,21,1,Graduate,Italy,5.3,1,6.8,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3809523809523805,0,1.7931034482758623
259,20,0,Undergraduate,South Korea,5.0,1,6.7,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.547619047619048,0,2.2500000000000004
260,22,1,Graduate,Russia,4.4,0,7.6,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.3095238095238093,5,3.137931034482758
261,19,0,Undergraduate,USA,6.6,1,5.6,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.5476190476190474,0,0.7758620689655171
262,21,1,Graduate,UK,5.3,1,6.3,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3809523809523805,0,2.0775862068965516
263,20,0,Undergraduate,Australia,4.3,0,7.5,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.2857142857142856,5,3.0948275862068964
264,22,1,Graduate,Germany,3.8,0,7.7,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.0714285714285716,5,3.681034482758621
265,19,0,Undergraduate,Japan,3.3,0,8.3,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.1904761904761907,5,3.939655172413794
266,21,1,Graduate,Italy,5.2,1,6.9,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.119047619047619,0,1.8362068965517242
267,20,0,Undergraduate,South Korea,4.8,1,7.0,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.5,0,2.3793103448275863
268,22,1,Graduate,Russia,4.3,0,7.7,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.2857142857142856,5,3.181034482758621
269,19,0,Undergraduate,USA,6.4,1,5.7,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5,0,0.8189655172413794
270,21,1,Graduate,UK,5.2,1,6.4,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.3571428571428568,0,2.120689655172414
271,20,0,Undergraduate,Australia,4.5,0,7.3,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.333333333333333,5,3.0086206896551726
272,22,1,Graduate,Germany,3.7,0,7.8,8,1,1,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.047619047619048,5,3.724137931034483
273,19,0,Undergraduate,Japan,3.2,0,8.4,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.166666666666667,5,3.9827586206896557
274,21,1,Graduate,Italy,5.4,1,6.7,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.404761904761904,0,1.7500000000000004
275,20,0,Undergraduate,South Korea,4.7,1,7.1,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.4761904761904763,0,2.4224137931034484
276,22,1,Graduate,Russia,4.2,0,7.8,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.261904761904762,5,3.224137931034483
277,19,0,Undergraduate,USA,6.6,1,5.5,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.5476190476190474,0,0.7327586206896552
278,21,1,Graduate,UK,5.1,1,6.5,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.333333333333333,0,2.163793103448276
279,20,0,Undergraduate,Australia,4.4,0,7.4,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.3095238095238093,5,3.0517241379310347
280,22,1,Graduate,Germany,3.6,0,7.9,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.023809523809524,5,3.767241379310345
281,19,0,Undergraduate,Japan,3.1,0,8.5,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.142857142857143,5,4.025862068965518
282,21,1,Graduate,Italy,5.3,1,6.8,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.142857142857143,0,1.7931034482758623
283,20,0,Undergraduate,South Korea,4.6,1,7.2,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.452380952380952,0,2.4655172413793105
284,22,1,Graduate,Russia,4.1,0,7.9,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.238095238095238,5,3.267241379310345
285,19,0,Undergraduate,USA,6.7,1,5.4,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5714285714285716,0,0.6896551724137934
286,21,1,Graduate,UK,5.0,1,6.6,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.3095238095238093,0,2.206896551724138
287,20,0,Undergraduate,Australia,4.3,0,7.5,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.2857142857142856,5,3.0948275862068964
288,22,1,Graduate,Germany,3.5,0,8.0,8,1,1,4,True,False,False,False,False,False,False,False,False,False,False,False,6,1.9999999999999998,5,3.8103448275862073
289,19,0,Undergraduate,Japan,3.0,0,8.6,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.119047619047619,5,4.06896551724138
290,21,1,Graduate,Italy,5.2,1,6.9,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3571428571428568,0,1.8362068965517242
291,20,0,Undergraduate,South Korea,4.5,1,7.3,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.4285714285714284,0,2.508620689655172
292,22,1,Graduate,Russia,4.0,0,8.0,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.2142857142857144,5,3.310344827586207
293,19,0,Undergraduate,USA,6.8,1,5.3,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.5952380952380953,0,0.646551724137931
294,21,1,Graduate,UK,4.9,1,6.7,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.2857142857142856,0,2.2500000000000004
295,20,0,Undergraduate,Australia,4.2,0,7.6,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.261904761904762,5,3.137931034482758
296,22,1,Graduate,Germany,3.4,0,8.1,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,1.976190476190476,5,3.8534482758620694
297,19,0,Undergraduate,Japan,2.9,0,8.7,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.0952380952380953,5,4.112068965517242
298,21,1,Graduate,Italy,5.1,1,7.0,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.0952380952380953,0,1.879310344827586
299,20,0,Undergraduate,South Korea,4.4,1,7.4,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.4047619047619047,0,2.551724137931035
300,22,1,Graduate,Russia,3.9,0,8.1,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.1904761904761907,5,3.3534482758620685
301,19,0,Undergraduate,USA,6.9,1,5.2,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.619047619047619,0,0.6034482758620692
302,21,1,Graduate,UK,4.8,1,6.8,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.261904761904762,0,2.293103448275862
303,20,0,Undergraduate,Australia,4.1,0,7.7,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.238095238095238,5,3.181034482758621
304,22,1,Graduate,Germany,3.3,0,8.2,8,1,1,4,True,False,False,False,False,False,False,False,False,False,False,False,6,1.9523809523809523,5,3.896551724137931
305,19,0,Undergraduate,Japan,2.8,0,8.8,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.0714285714285716,5,4.155172413793104
306,21,1,Graduate,Italy,5.0,1,7.1,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3095238095238093,0,1.9224137931034484
307,20,0,Undergraduate,South Korea,4.3,1,7.5,6,1,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.380952380952381,0,2.594827586206897
308,22,1,Graduate,Russia,3.8,0,8.2,7,0,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.166666666666667,5,3.3965517241379306
309,19,0,Undergraduate,USA,7.0,1,5.1,4,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.642857142857143,0,0.5603448275862069
310,21,1,Graduate,UK,4.7,1,6.9,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,2.336206896551724
311,20,0,Undergraduate,Australia,4.0,0,7.8,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.2142857142857144,5,3.224137931034483
312,22,1,Graduate,Germany,3.2,0,8.3,8,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,1.9285714285714286,5,3.939655172413794
313,19,0,Undergraduate,Japan,2.7,0,8.9,8,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,7,2.047619047619048,5,4.198275862068966
314,21,1,Graduate,Italy,4.9,1,7.2,5,1,3,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.047619047619048,0,1.9655172413793105
315,20,0,Undergraduate,South Korea,4.2,1,7.6,6,0,3,6,False,False,True,False,False,False,False,False,False,False,False,False,4,2.357142857142857,0,2.637931034482759
316,22,1,Graduate,Russia,3.7,0,8.3,7,1,2,5,False,False,False,False,False,False,False,False,True,False,False,False,5,2.1428571428571432,5,3.4396551724137936
317,19,0,Undergraduate,USA,7.1,1,5.0,4,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.6666666666666665,0,0.5172413793103449
318,21,1,Graduate,UK,4.6,1,7.0,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,2.3793103448275863
319,20,0,Undergraduate,Australia,3.9,0,7.9,7,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.1904761904761907,5,3.267241379310345
320,22,1,Graduate,Germany,3.1,0,8.4,8,1,1,4,True,False,False,False,False,False,False,False,False,False,False,False,6,1.9047619047619047,5,3.9827586206896557
321,19,0,Undergraduate,Spain,5.2,1,6.8,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3571428571428568,0,2.293103448275862
322,21,1,Graduate,Denmark,4.1,0,7.8,8,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.4761904761904763,5,3.724137931034483
323,20,0,Undergraduate,Ireland,5.0,1,7.0,7,0,3,6,False,True,False,False,False,False,False,False,False,False,False,False,4,2.547619047619048,0,2.879310344827586
324,22,1,Graduate,India,5.8,1,6.5,5,1,4,8,False,False,False,False,False,False,False,False,False,False,True,False,2,2.595238095238095,0,1.6637931034482762
325,19,0,Undergraduate,Switzerland,4.0,0,7.9,8,0,2,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.4523809523809526,5,3.767241379310345
326,21,1,Graduate,Turkey,5.5,1,6.7,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.428571428571428,0,2.2500000000000004
327,20,0,Undergraduate,USA,6.8,1,5.5,5,1,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.5952380952380953,0,1.2327586206896552
328,22,1,Graduate,Mexico,5.6,1,6.6,6,0,3,7,False,False,False,False,False,False,False,False,False,False,True,False,3,2.4523809523809517,0,2.206896551724138
329,19,0,Undergraduate,France,4.5,0,7.5,7,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.333333333333333,5,3.0948275862068964
330,21,1,Graduate,Canada,5.3,1,6.9,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3809523809523805,0,2.336206896551724
331,20,0,Undergraduate,Spain,5.1,1,6.7,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.333333333333333,0,2.2500000000000004
332,22,1,Graduate,Denmark,3.9,0,7.9,8,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.428571428571429,5,3.767241379310345
333,19,0,Undergraduate,Ireland,4.8,1,7.1,7,0,3,6,False,True,False,False,False,False,False,False,False,False,False,False,4,2.5,0,2.9224137931034484
334,21,1,Graduate,India,5.9,1,6.4,5,1,4,8,False,False,False,False,False,False,False,False,False,False,True,False,2,2.619047619047619,0,1.6206896551724141
335,20,0,Undergraduate,Switzerland,3.8,0,8.0,8,0,2,4,False,True,False,False,False,False,False,False,False,False,False,False,6,2.404761904761905,5,3.8103448275862073
336,22,1,Graduate,Turkey,5.4,1,6.8,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.404761904761904,0,2.293103448275862
337,19,0,Undergraduate,USA,6.9,1,5.4,5,1,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.619047619047619,0,1.1896551724137934
338,21,1,Graduate,Mexico,5.7,1,6.5,6,0,3,7,False,False,False,False,False,False,False,False,False,False,True,False,3,2.4761904761904763,0,2.163793103448276
339,20,0,Undergraduate,France,4.4,0,7.6,7,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.3095238095238093,5,3.137931034482758
340,22,1,Graduate,Canada,5.2,1,7.0,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.3571428571428568,0,2.3793103448275863
341,19,0,Undergraduate,Spain,5.0,1,6.9,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3095238095238093,0,2.336206896551724
342,21,1,Graduate,Denmark,3.8,0,8.0,8,1,2,4,True,False,False,False,False,False,False,False,False,False,False,False,6,2.404761904761905,5,3.8103448275862073
